Region (Bhf);Techn. Platz (Bhf);Bezeichnung (Bhf);Bezeichn. TP (EQ);Equipment (EQ);Bezeichnung (EQ);Postleitzahl (EQ);Ort (Bhf);Standort EQ;Hersteller (EQ);Baujahr (EQ);Klassenbezeichnung;ANTRIEBSART;ANZAHL_HALTESTELLEN;ANZAHL_TUEREN_KABINE;ANZAHL_TUEREN_SCHACHT;FOERDERGESCHWINDIGKEIT;FOERDERHOEHE;LAGE;TRAGKRAFT;ERWEITERTE_ORTSANGABE;MIN_TUERBREITE;KABINENTIEFE;KABINENBREITE;KABINENHOEHE;AUSFTEXTLICHEBESCHREIBUNG;TUERHOHE;FABRIKNUMMER;TUERART;GEOKOORDINATERECHTSWERTNEU;GEOKOORDINATEHOCHWERTNEU;NAMEGEMAESSWEGELEITSYSTEM;VERKEHRENDEVERKEHRSMITTEL
;;;;10315764;Personenaufzug HA 188  46101-003     NEU;60528;Frankfurt am Main;GLEIS 6/7;OTIS GmbH & Co. OHG;2006;Personenaufzüge;SEIL;2,0;2,0;2,0;;;INTEGRIERT;1050,0;;;;;;zu Gleis 6/7;;;;8,6326516;50,0682841;;
;01855;Frankfurt (Main) Stresemannallee;Bahnsteig 01;10351034;Personenaufzug HA 020  46101-001;60596;Frankfurt am Main;;Thyssen Krupp;2007;Personenaufzüge;SEIL;2,0;;;;7,0;;675,0;;;;;;zu Gleis 1/2;;;;8,6710746;50,0942799;;
;01856;Frankfurt (Main) Süd;Personenunterführung;10350378;Personenaufzug HA 015  46101-001;60594;Frankfurt am Main;BSTG 1/2 <--> PU;Thyssen Krupp;2007;Personenaufzüge;SEIL;2,0;;;;6,0;;675,0;;;;;;zu Gleis 1/2;;;;8,6861576;50,0995355;;
;;;;10350379;Personenaufzug HA 016  46101-002;60594;Frankfurt am Main;BSTG 3/4 <--> PU;Thyssen Krupp;2007;Personenaufzüge;SEIL;2,0;;;;6,0;;675,0;;;;;;zu Gleis 3/4;;;;8,6863198;50,0994462;;
;01857;Frankfurt (Main) Taunusanlage;S-Bahnsteig;10472990;Personenaufzug HA 009 46101-001;60325;Frankfurt am Main;;Thyssen Krupp;2013;Personenaufzüge;SEIL;3,0;3,0;3,0;1,0;15,0;;1000,0;;;;;;zu Gleis 1/2 (S-Bahn);;;;8,66834;50,113259;;
;01864;Frankfurt (Main) Hauptwache;S-Bahnsteig;10351032;HA 010  46101-001;60313;Frankfurt am Main;;ThyssenKrupp Aufzüge GmbH;2007;Personenaufzüge;SEIL;2,0;;;;5,0;;1000,0;;;;;;zu Gleis 2/3 (S-Bahn);;;;8,67818;50,114046;;
;01866;Frankfurt (Main) Hbf;1. Untergeschoss;10020539;Personenaufzug HA 143    46101-001;60329;Frankfurt am Main;MITROPA GLEIS 24;HIRO;1977;Personenaufzüge;SEIL;4,0;1,0;4,0;0,5;10,529999999999999;INTEGRIERT;2025,0;;;;;;;;;;;;;
;;;;10020642;++INAK++  Pers.-Aufzug HA 171  46101-038;60329;Frankfurt am Main;MITROPA  GL.24;Kone;1973;Personenaufzüge;SEIL;5,0;;7,0;0,4;13,81;INTEGRIERT;2000,0;;;;;;;;;;;;;
;;;Aufzüge - B-Ebene -;10020683;Personenaufzug HA 083    46101-035;60329;Frankfurt am Main;B-EBENE<>KG LIEFERANTEN/MIETER;Becker + Reinhardt;1976;Personenaufzüge;SEIL;2,0;1,0;2,0;0,48;2,88;INTEGRIERT;500,0;;;;;;;;;;;;;
;;;;10020991;Personenaufzug HA 084    46101-035;60329;Frankfurt am Main;B-EBENE<>KG FHG (MIETER/LIEF.);Becker + Reinhardt;1976;Personenaufzüge;HYDRAULISCH;2,0;1,0;2,0;0,48;2,88;INTEGRIERT;500,0;;;;;;;;;;;;;
;;;;10314584;HA 067    46101-040;60329;Frankfurt am Main;ZUM BAHNHOFSVORPLATZ;OTIS GmbH & Co. OHG;2006;Personenaufzüge;SEIL;2,0;2,0;2,0;;;INTERGRIERT;1000,0;;;;;;von EG zu UG;;;;8,664544;50,1071506;;
;;;B2 Ebene;10314752;HA 063    46101-039;60329;Frankfurt am Main;ZUGANG TIEFGARAGE;OTIS GmbH & Co. OHG;2006;Personenaufzüge;SEIL;2,0;2,0;2,0;1,0;8,65;;2100,0;;;;;;zu Parkhaus;;47NAE871;;8,66242;50,10748;;
;;;Bstg 101 / 102;10314463;HA 064    46101-042;60329;Frankfurt am Main;D => A;OTIS GmbH & Co. OHG;2006;Personenaufzüge;SEIL;2,0;2,0;2,0;;;INTEGRIERT;1400,0;;;;;;zu Gleis 101/102 (S-Bahn);;;;8,6628995;50,1072933;;
;;;;10561326;HA 064    46101-042;60329;Frankfurt am Main;; ;2017;Personenaufzüge;SEIL;;;;;;;;;;;;;;;;;;;;
;;;Bstg 103 / 104;10561327;HA 065    46101-041;60329;Frankfurt am Main;; ;2017;Personenaufzüge;SEIL;;;;;;;;;;;;;;;;;;;;
;;;C Ebene;10020635;Personenaufzug HA 134    46101-027;60329;Frankfurt am Main;C-EBENE <=> VORPLATZ SÜD;Paul Schmidt;1976;Personenaufzüge;HYDRAULISCH;4,0;1,0;4,0;0,4;11,69;INTEGRIERT;1500,0;;;;;;von EG zu C-Ebene;;;;8,66495;50,10651;;
;;;;10020636;Personenaufzug HA 133    46101-029;60329;Frankfurt am Main;C-EBENE <=> VORPLATZ SÜD;Paul Schmidt;1976;Personenaufzüge;HYDRAULISCH;3,0;1,0;3,0;0,4;6,98;INTEGRIERT;1500,0;;;;;;von EG zu C-Ebene;;;;8,66277;50,10794;;
;;;;10020637;Personenaufzug HA 130    46101-030;60329;Frankfurt am Main;C-EBENE <=> VORPLATZ NORD;Paul Schmidt;1976;Personenaufzüge;HYDRAULISCH;3,0;1,0;3,0;0,4;10,210000000000001;INTEGRIERT;1500,0;;;;;;von EG zu C-Ebene;;;;8,66277;50,10794;;
;;;;10020993;Personenaufzug HA 179    46101-028;60329;Frankfurt am Main;C-EBENE <=> B-EBENE;Paul Schmidt;1976;Personenaufzüge;HYDRAULISCH;3,0;2,0;4,0;0,4;6,28;INTEGRIERT;2500,0;;;;;;von B-Ebene zu C-Ebene;;;;8,66473;50,10705;;
;;;;10433611;Personenaufzug HA 131   6xW/I  ab 7/2018;60329;Frankfurt am Main;C <=> VORPLATZ NORD;Thyssen;2009;Personenaufzüge;SEIL;3,0;1,0;4,0;1,0;10,0;UNTEN NEBEN;1500,0;;;;;;;;;;;;;
;;;Gepa - Tunnel;10449075;Personenaufzug HA 154    6xW/I ab 7/2018;60329;Frankfurt am Main;GEPA GL. 17 / 18 TUNNEL;Paul Schmidt;2010;Personenaufzüge;HYDRAULISCH;2,0;2,0;3,0;0,54;3,63;;3000,0;;;;;;zu Gleis 17/18;;;;8,6626;50,10725;;
;;;Kellergeschoss - FHG;10020623;+++INAK+++Pers.-Aufzug HA 026  46102-024;60329;Frankfurt am Main;NORDS. SCHMIDT+HAHN;Schmidt + Sohn;1972;Personenaufzüge;SEIL;5,0;1,0;5,0;;13,030000000000001;INTEGRIERT;600,0;;;;;;;;;;;;;
;;;;10020625;Personenaufzug HA 102    46101-026;60329;Frankfurt am Main;EG<>2.OG (MIETER, U A HANISCH);Schmitt + Sohn;1977;Personenaufzüge;SEIL;5,0;1,0;5,0;0,8;13,280000000000001;NEBEN;750,0;;;;;;;;;;;;;
;;;;10020629;Personenaufzug HA 030    46101-023 x;60329;Frankfurt am Main;KG<>2.OG TRP-HAUS (MIETER);Schmitt + Sohn;1976;Personenaufzüge;SEIL;4,0;1,0;4,0;0,85;13,390000000000001;INTEGRIERT;600,0;;;;;;von KG zu 2.OG;;;;8,66325;50,10745;;
;;;;10020631;Personenaufzug HA 028    46101-001;60329;Frankfurt am Main;NORDS. EHEM. KANTINE;Schmidt + Sohn;1976;Personenaufzüge;SEIL;4,0;1,0;4,0;1,25;13,4;INTEGRIERT;600,0;;;;;;;;;;;;;
;;;;10020639;+++INAK+++Pers.-Aufzug HA 085  46101-032;60329;Frankfurt am Main;PROST MAHLZEIT;Thyssen;1976;Personenaufzüge;HYDRAULISCH;2,0;1,0;2,0;0,29;3,91;INTEGRIERT;500,0;;;;;;;;;;;;;
;;;;10020657;++INAK++  Pers.-Aufzug HA 029  46101-022;60329;Frankfurt am Main;EHEM. KANTINE, NORDSEITE;Schmidt + Sohn;1976;Personenaufzüge;SEIL;4,0;1,0;4,0;1,25;13,4;INTEGRIERT;600,0;;;;;;;;;;;;;
;;;KG: Mieter südl. Teil (u. a. Markthalle);10020384;Personenaufzug HA 281    46101-002;60329;Frankfurt am Main;SCHMITT&HAHN;Rieser;1998;Personenaufzüge;HYDRAULISCH;2,0;1,0;2,0;0,63;3,81;NEBEN;1200,0;;;;;;;;;;;;;
;;;;10020397;Personenaufzug HA 284_46101-013;60329;Frankfurt am Main;MARKTH. KG<->2.OG   TRANSPONDE;Rieser Aufzugsbau GmbH;1997;Personenaufzüge;HYDRAULISCH;4,0;1,0;4,0;0,65;10,300000000000001;INTEGRIERT;1500,0;;;;;;von UG zu 2.OG;;;;8,66424;50,10614;;
;;;;10020627;Personenaufzug HA 283    46101-001;60329;Frankfurt am Main;KG -> EG TRANSPONDERSCHLIEß;Rieser;1997;Personenaufzüge;INDIREKT HYDRAULISCH;2,0;2,0;2,0;;4,2;INTEGRIERT;1250,0;;;;;;;;;;;;;
;;;;10185526;Personenaufzug HA 270    46101-004;60329;Frankfurt am Main;PORTIKUS TREPPENHAUS;Aufzugsdienst Leis GmbH;1997;Personenaufzüge;HYDRAULISCH;4,0;2,0;6,0;;;;;;;;;;von UG zu 2.OG;;;;8,66411;50,10669;;
;;;LZ Mitte;10448345;Personenaufzug HA 044   46101-025;60329;Frankfurt am Main;LZ-MITTE <=> DG;Thyssen Krupp;2010;Personenaufzüge;SEIL;6,0;1,0;6,0;1,0;25,0;OBEN NEBEN;1000,0;;;;;;Ladenzeile - Dachgeschoss;;;;8,66325;50,10745;;
;;;Querbahnsteig;10020388;Personenaufzug HA 282    46101-021;60329;Frankfurt am Main;GLASAUFZUG  - COSMOPOLITAN;Rieser Aufzugsbau GmbH;1997;Personenaufzüge;HYDRAULISCH;2,0;1,0;2,0;0,95;5,665;OBEN;1500,0;;;;;;von EG zu 1.OG;;;;8,6638005;50,1062542;;
;;;Sammelplatz für gelöschte Equis;10314464;HA 065   46101-041_Ausbau wg. Erneuerung;60329;Frankfurt am Main;D => A;OTIS GmbH & Co. OHG;2006;Personenaufzüge;SEIL;2,0;2,0;2,0;;;INTERGRIERT;1400,0;;;;;;zu Gleis 103/104 (S-Bahn);;;;8,6627516;50,1074549;;
;;;Zugang DB Lounge / Uddin&Uddin;10020626;Personenaufzug HA 269    46101-012;60329;Frankfurt am Main;ZUGANG DB LOUNGE / UDDIN&UDDIN;Aufzugsdienst Leis GmbH;1997;Personenaufzüge;HYDRAULISCH;2,0;1,0;2,0;0,63;6,100000000000001;INTEGRIERT;630,0;;;;;;DB Lounge;;;;8,6640127;50,1068308;;
;01871;Frankfurt-Griesheim;Bahnsteig 1;10567164;Aufzug Bstg 1;65933;Frankfurt am Main;; ;2020;Personenaufzüge;SEIL;;;;;;;;;;;;;;;;;;;;
;;;Bstg Gleise 2 / 3;10567165;Aufzug Bstg 2;65933;Frankfurt am Main;; ;2020;Personenaufzüge;SEIL;;;;;;;;;;;;;;;;;;;;
;01872;Frankfurt-Höchst;Gleis 1 / 2;10499221;Personenaufzug Bstg 1/2 - HA 430;65929;Frankfurt am Main;PERSONENAUFZUG BSTG 1/2 <> PU;Schindler GmbH;2015;Personenaufzüge;SEIL;2,0;2,0;2,0;1,0;4,08;AUßEN;1050,0;PERSONENAUFZUG BSTG 1 <> PU;1000,0;;;2200,0;zu Gleis 1/2;2100,0;10778898;ZS2;8,5424368;50,1023856;;
;;;Gleis 3 / 4;10499222;Personenaufzug Bstg 3/4 - HA 431;65929;Frankfurt am Main;PERSONENAUFZUG BSTG 3/4 <> PU;Schindler GmbH;2015;Personenaufzüge;SEIL;2,0;2,0;2,0;1,0;4,09;AUßEN;1050,0;PERSONENAUFZUG BSTG 2 <> PU;1000,0;;;2200,0;zu Gleis 3/4;2100,0;10778899;ZS2;8,5423971;50,1025194;;
;;;Gleis 5 / 6;10499223;Personenaufzug Bstg 5/6 - HA 432;65929;Frankfurt am Main;PERSONENAUFZUG BSTG 5/6 <> PU;Schindler GmbH;2015;Personenaufzüge;SEIL;2,0;2,0;2,0;1,0;4,21;AUßEN;1050,0;PERSONENAUFZUG BSTG 3 <> PU;1000,0;;;2200,0;zu Gleis 5/6;2100,0;10796241;ZS2;8,5423573;50,1026518;;
;;;Gleis 10 / 11;10499224;Personenaufzug Bstg 10/11 - HA 433;65929;Frankfurt am Main;PERSONENAUFZUG BSTG 10/11<>PU;Schindler GmbH;2015;Personenaufzüge;SEIL;2,0;;;;;;;;;;;;zu Gleis 10/11;;10796242;;8,5424095;50,102975;;
;;;Gleis 12 / 13;10499226;Personenaufzug Bstg 12/13- HA 434;65929;Frankfurt am Main;PERSONENAUFZUG BSTG 12/13<>PU;Schindler GmbH;2015;Personenaufzüge;SEIL;2,0;;;;;;;;;;;;zu Gleis 12/13;;10796243;;8,5423605;50,1031407;;
;01873;Frankfurt-Louisa;Personentunnel;10021257;Personenaufzug HA 253  46101-001;60598;Frankfurt am Main;;Paul Schmidt;1996;Personenaufzüge;HYDRAULISCH;2,0;2,0;2,0;0,5;4,99;INTEGRIERT;630,0;;;;;;zu Gleis 1/2;;;;8,6704257;50,0841283;;
;01876;Frankfurt (Main) Niederrad;Personenunterführung;10268575;Personenaufzug HA 173    46101-001;60528;Frankfurt am Main;BAHNSTEIG 3/4;Kone;2003;Personenaufzüge;SEIL;2,0;2,0;1,0;;8,0;;;;;;;;zu Gleis 1/2;;;;8,6370633;50,080993;;
;;;;10268576;Personenaufzug HA 174    46101-002;60528;Frankfurt am Main;BAHNSTEIG 1/2;Kone;2003;Personenaufzüge;SEIL;2,0;2,0;1,0;;8,0;;;;;;;;zu Gleis 3/4;;;;8,6368541;50,0809243;;
;01877;Frankfurt-Rödelheim;Bahnsteig Gleis 1;10492004;HA 230  46101-001 (kein MEM ->Stadt FFM);60489;Frankfurt am Main;UF <=> BSTG 1;OTIS GmbH & Co. OHG;2011;Personenaufzüge;SEIL;2,0;2,0;2,0;1,0;5,0;;1050,0;;;;;;zu Gleis 1;;;;8,6073324;50,1241453;;
;;;Bahnsteig Gleis 2/3;10459810;HA 231  46101-001 (zust. DB S&S BM FFM);60489;Frankfurt am Main;UF <=> 2/3;OTIS GmbH & Co. OHG;2011;Personenaufzüge;SEIL;2,0;2,0;2,0;1,0;5,0;;1050,0;;;;;;zu Gleis 2/3;;;;8,6071;50,1242;;
;;;Personenunterführung;10561138;HA 232 46101-001 (Kein MEM -> Stadt FFM);60489;Frankfurt am Main;UF => RI. WESTERBACHSTR.;OTIS;2011;Personenaufzüge;SEIL;2,0;2,0;2,0;1,0;5,0;;1050,0;;;;;;;;;;;;;
;01930;Friedberg (Hess);Bahnsteigbereich Gl.1/1a;10508996;Aufzug Bstg Gl. 1;61169;Friedberg (Hessen);; ;2020;Personenaufzüge;SEIL;;;;;;;;;;;;;;;;;;;;
;;;Bahnsteigbereich Gl.2/4;10508997;Aufzug Bstg Gl. 2+4;61169;Friedberg (Hessen);; ;2020;Personenaufzüge;SEIL;;;;;;;;;;;;;;;;;;;;
;;;Bahnsteigbereich Gl.5/7;10508998;Aufzug Bstg Gl. 5+7;61169;Friedberg (Hessen);; ;2020;Personenaufzüge;SEIL;;;;;;;;;;;;;;;;;;;;
;;;Bahnsteigbereich Gl.8/10;10508999;Aufzug Bstg Gl. 8+10;61169;Friedberg (Hessen);; ;2020;Personenaufzüge;SEIL;;;;;;;;;;;;;;;;;;;;
;01973;Fulda;Erdgeschoss;10508056;Aufzug EG - Bahnsteig 1;36037;Fulda;EG - BAHNSTEIG 1;Schindler;2016;Personenaufzüge;SEIL;2,0;2,0;4,0;1,0;4,325;;675,0;;;;;;von Empfangshalle zu Tunnel;;10902948;;9,683646;50,5546445;;
;02097;Gernsheim;Bahnsteig 2, Gleis 2/3;10558435;Aufzug Bstg 2;64579;Gernsheim;; ;2019;Personenaufzüge;SEIL;;;;;;;;;;;;;;;;;;;;
;02120;Gießen;Bahnsteig  2           ( Gleis 2 / 3   );10182000;Personenaufzug;35390;Gießen;;OTIS GmbH & Co. OHG;2010;Personenaufzüge;SEIL;2,0;1,0;2,0;0,65;6,54;AN DER PERSONENÜBERFÜHRUNG;630,0;;;;;;zu Gleis 2/3;;;;8,6631996;50,5806724;;
;;;;10440075;Personenaufzug HA 400;35390;Gießen;GLEIS 2/3;Thyssen Krupp;2010;Personenaufzüge;SEIL;2,0;2,0;2,0;1,0;5,0;;1050,0;;;;;;zu Gleis 2/3;;;;8,6617977;50,5795351;;
;;;Bahnsteig  3           ( Gleis 4 / 5   );10180137;Personenaufzug;35390;Gießen;STEG GLEIS 4/5;OTIS GmbH & Co. OHG;2010;Personenaufzüge;SEIL;2,0;1,0;2,0;0,65;6,54;AN DER PERSONENÜBERFÜHRUNG;630,0;;;;;;zu Gleis 4/5;;;;8,6630498;50,5807484;;
;;;;10440074;Personenaufzug HA 401;35390;Gießen;GLEIS 4/5;Thyssen Krupp;2010;Personenaufzüge;SEIL;2,0;2,0;2,0;1,0;5,0;;1050,0;;;;;;zu Gleis 4/5;;;;8,6616733;50,5796477;;
;;;Bahnsteig  4           ( Gleis 11      );10440073;Personenaufzug HA 402;35390;Gießen;GLEIS 11;Thyssen Krupp;2010;Personenaufzüge;SEIL;2,0;2,0;2,0;1,0;5,0;;1050,0;;;;;;zu Gleis 11;;;;8,6620998;50,5791204;;
;;;Bahnsteig  5           ( Gleis 12 / 13 );10440072;Personenaufzug HA 403;35390;Gießen;GLEIS 12/13;ThyssenKrupp Aufzüge GmbH;2010;Personenaufzüge;SEIL;2,0;2,0;2,0;1,0;5,0;;1050,0;;;;;;zu Gleis 12/13;;;;8,6622379;50,5789065;;
;;;Bahnsteig  6           ( Gleis 14 / 15 );10440071;Personenaufzug HA 404;35390;Gießen;GLEIS 14/15;Thyssen Krupp;2010;Personenaufzüge;SEIL;2,0;2,0;2,0;1,0;5,0;;1050,0;;;;;;zu Gleis 14/15;;;;8,6623269;50,5787809;;
;02161;Riedstadt-Goddelau;Bahnsteig 1;10558268;Personenaufzüge #30;64560;Riedstadt;; ;2019;Personenaufzüge;SEIL;;;;;;;;;;;;;;;;;;;;
;;;Bahnsteig 2, Gleis 2/3;10558269;Personenaufzüge #31;64560;Riedstadt;; ;2019;Personenaufzüge;SEIL;;;;;;;;;;;;;;;;;;;;
;;;Bahnsteig 3, Gleis 4/5;10558270;Personenaufzüge #32;64560;Riedstadt;; ;2019;Personenaufzüge;SEIL;;;;;;;;;;;;;;;;;;;;
;02300;Groß Gerau-Dornberg;Bahnsteig 1;10463523;Aufzug, HA 460;64521;Groß Gerau-Dornberg;;Thyssen Krupp;2012;Personenaufzüge;SEIL;2,0;2,0;2,0;1,0;6,0;;1050,0;;;;;;zu Gleis 1;;;;8,4943315;49,9119319;;
;;;Bahnsteig 2, Gleis 2/3;10463524;Aufzug, HA 461;64521;Groß Gerau-Dornberg;;Thyssen Krupp;2012;Personenaufzüge;SEIL;2,0;2,0;2,0;1,0;6,0;;1050,0;;;;;;zu Gleis 2/3;;;;8,4946438;49,9118805;;
;;;Bahnsteig 3, Gleis 4/5;10463525;Aufzug, HA 462;64521;Groß Gerau-Dornberg;;Thyssen Krupp;2012;Personenaufzüge;SEIL;2,0;2,0;2,0;1,0;6,0;;1050,0;;;;;;zu Gleis 4/5;;;;8,4948966;49,9119747;;
;02316;Groß Rohrheim;Bahnsteig 3 Gleis 3;10558430;Aufzug Bstg 2;68649;Groß Rohrheim;; ;2019;Personenaufzüge;SEIL;;;;;;;;;;;;;;;;;;;;
;02389;Grünberg (Oberhess);Bahnsteig 1 / (Gleis 1);10508974;Aufzug Bahnsteig 1;35305;Grünberg;; ;2019;Personenaufzüge;SEIL;;;;;;;;;;;;;;;;;;;;
;;;Bahnsteig 2 / (Gleis 2/3);10508975;Aufzug Bahnsteig 2;35305;Grünberg;; ;2019;Personenaufzüge;SEIL;;;;;;;;;;;;;;;;;;;;
;02537;Hanau Hbf;S - Bahngleis 1 + 2;10028440;Personenaufzug HA 251  46101-001;63450;Hanau;S-BAHN GLEIS 1;Paul Schmidt;1995;Personenaufzüge;HYDRAULISCH;2,0;2,0;2,0;0,5;4,66;;630,0;;;;;;zu Gleis 1/2 (S-Bahn);;;;8,9296658;50,1213127;;
;02701;Herborn (Dillkr);Bahnsteig 01;10537974;Personenaufzug HA 409;35745;Herborn;GLEIS 1/VORPLATZ;Fa. Busse;2016;Personenaufzüge;SEIL;2,0;2,0;2,0;1,0;;AUßEN;1000,0;;;;;;von EG zu Tunnel;;;;8,3078;50,68472;;
;02825;Hofgeismar;Bahnsteig 01;10445260;Personenaufzüge #24   NEU;34369;Hofgeismar;;OTIS GmbH & Co. OHG;2010;Personenaufzüge;SEIL;2,0;4,0;;;;;1070,0;;;;;;zu Gleis 1/2;;;;9,395660912;51,49888876;;
;02827;Hofheim (Taunus);Bahnsteig 2 / 3 Inselbahnsteig;10146032;Personenaufzug HA 266  46101-002;65719;Hofheim (Taunus);;Universal Lift GmbH Berlin;1999;Personenaufzüge;HYDRAULISCH;2,0;2,0;2,0;0,63;4,07;BAHNSTEIG 2;630,0;;;;;;zu Gleis 2/3;;;;8,4448422;50,0840888;;
;;;Hausbahnsteig;10121097;Personenaufzug HA 265  46101-001;65719;Hofheim (Taunus);;Universal Lift GmbH Berlin;1999;Personenaufzüge;HYDRAULISCH;2,0;2,0;2,0;0,63;4,07;BAHNSTEIG 1;630,0;;;;;;zu Gleis 1;;;;8,4448821;50,084098;;
;02950;Hungen;Bahnsteig 1 / (Gleis 1);10502098;Personenaufzug HA 423;35410;Hungen;GLEIS 1;Schindler;2016;Personenaufzüge;SEIL;2,0;2,0;2,0;1,0;3,63;;1050,0;;1000,0;;;;;2100,0;10964808;;;;;
;;;Bahnsteig 2 / (Gleis 2/4);10502099;Personenaufzug HA 424;35410;Hungen;GLEIS 2/4;Schindler;2017;Personenaufzüge;SEIL;2,0;2,0;2,0;1,0;3,92;;1000,0;;1000,0;;;;;2100,0;10964809;;;;;
;03124;Kassel Hbf;04. Obergeschoss Landkreisgebäude Nord;10191538;Personenaufzug Lankr. Nord HA 23;34117;Kassel;LANDKREIS NORD;Thyssen Krupp;1979;Personenaufzüge;HYDRAULISCH;5,0;1,0;5,0;0,52;13,835000000000001;;320,0;;;;;;;;;;;;;
;;;Aufzugsmaschinenraum;10232381;Personenaufzug Balikino HA21;34117;Kassel;BALI-KINO;Goebel Aufzüge GmbH;1995;Personenaufzüge;HYDRAULISCH;3,0;2,0;3,0;0,63;8,94;;630,0;;;;;;Balikino;;;;9,49028;51,3183;;
;03127;Kassel-Wilhelmshöhe;Aufzugsmaschinenraum;10186440;Personenaufzug, BSTG 1, Südtreppe HA 25;34131;Kassel;"SÜDTREPPE; BSTG 1";Thyssen Krupp;2007;Personenaufzüge;SEIL;2,0;2,0;2,0;1,0;7,600000000000001;UNTEN;1000,0;;;;;;zu Gleis 1/2 Abschnitt C;;;;9,4475091;51,3106025;;
;;;;10186446;Personenaufzug, BSTG 2, Südtreppe HA 26;34131;Kassel;"SÜDTREPPE; BSTG 2";Thyssen Krupp;2008;Personenaufzüge;SEIL;2,0;2,0;2,0;1,0;7,600000000000001;UNTEN;1000,0;;;;;;zu Gleis 3/4 Abschnitt C;;;;9,4477613;51,3106544;;
;;;;10186447;Personenaufzug, BSTG 3, Südtreppe HA 27;34131;Kassel;"SÜDTREPPE; BSTG 3";Thyssen Krupp;2008;Personenaufzüge;SEIL;2,0;2,0;2,0;1,0;7,600000000000001;UNTEN;1000,0;;;;;;zu Gleis 7/8 Abschnitt C;;;;9,4483548;51,310788;;
;;;;10186448;Personenaufzug, BSTG 4, Südtreppe HAm 28;34131;Kassel;"SÜDTREPPE; BSTG 4";Thyssen Krupp;2008;Personenaufzüge;SEIL;2,0;2,0;2,0;1,0;7,600000000000001;UNTEN;1000,0;;;;;;zu Gleis 9/10 Abschnitt C;;;;9,4486176;51,310845;;
;;;BT A, KG K58 Aufzugsmaschinen;10033889;Personenaufzug BT A HA29;34131;Kassel;BAUTEIL A;Schindler GmbH;1991;Personenaufzüge;SEIL;3,0;2,0;4,0;0,5;7,8;OBEN;1000,0;MASCHINENRAUM BT-A KG;;;;;Maschinenraum;;87555;;9,44751;51,31277;;
;;;BT C, KG Raum K24 Aufzugsmaschinenraum;10186520;Personenaufzug BT C  HA30;34131;Kassel;BT C;Schindler GmbH;2008;Personenaufzüge;SEIL;3,0;5,0;2,0;;7,8;UNTEN;1000,0;;;;;;Maschinenraum;;;;9,44614;51,31282;;
;03152;Kelsterbach;Bahnsteig - Gleis 1;10502832;Aufzug;65451;Kelsterbach;; ;2018;Personenaufzüge;SEIL;;;;;;;;;;;;;;;;;;;;
;03423;Kriftel;Personentunnel;10430949;HA 275  46101-001;65830;Kriftel;ZUM BSTG. 1;Thyssen Krupp;2008;Personenaufzüge;SEIL;2,0;2,0;2,0;;4,0;;1425,0;;;;;;zu Gleis 1;;;;8,475072;50,0822585;;
;;;;10430950;HA 276  46101-002;65830;Kriftel;ZUM BSTG. 2/3;Thyssen Krupp;2008;Personenaufzüge;SEIL;2,0;2,0;;;4,0;;1425,0;;;;;;zu Gleis 2;;;;8,475171;50,082105;;
;03500;Lampertheim;Bahnsteig 2, Gleis 2/3;10507309;Aufzug Bstg. 2;68623;Lampertheim;; ;2019;Personenaufzüge;SEIL;;;;;;;;;;;;;;;;;;;;
;;;Bahnsteig 3, Gleis 4/5;10507310;Aufzug Bstg. 3;68623;Lampertheim;;Schindler;2016;Personenaufzüge;SEIL;2,0;2,0;2,0;1,0;4,16;;1050,0;BAHNSTEIG GLEIS 4/5;;;;;;;10957414;;;;;
;03524;Langen (Hess);Bahnsteig 1;10488507;Aufzug HA 257;63225;Langen;; ;2014;Personenaufzüge;SEIL;2,0;;;;;;;;;;;;zu Gleis 1;;;;8,6570888;49,9937086;;
;;;Bahnsteig 2, Gleis 2/3;10488506;Aufzug HA 259;63225;Langen;;Thyssen Krupp;2014;Personenaufzüge;SEIL;2,0;;;;;;;;;;;;zu Gleis 2/3;;;;8,6567937;49,9936643;;
;;;Bahnsteig 3, Gleis 4;10488505;Aufzug HA 258;63225;Langen;;Thyssen Krupp;2014;Personenaufzüge;SEIL;2,0;;;;;;;;;;;;zu Gleis 4;;;;8,6565711;49,9936773;;
;03720;Limburg (Lahn);Bahnsteig 3 / (Gleis 4/5);10415329;Personenaufzug HA 338;65549;Limburg;GLEIS 4/5;Tepper Aufzüge GmbH;2007;Personenaufzüge;SEIL;2,0;2,0;2,0;;2,86;;1050,0;;;;;;zu Gleis 4/5;;;;8,063169377;50,38440942;;
;03723;Limburg Süd;Bahnsteig 1;10200131;Personenaufzug HA 328;65552;Limburg;GLEIS 1;Tepper Aufzüge GmbH;2002;Personenaufzüge;SEIL;2,0;1,0;2,0;1,0;7,656000000000001;;1050,0;;;;;;zu Gleis 1;;;;8,096013637;50,38229824;;
;;;Bahnsteig 2;10200132;Personenaufzug HA 329;65552;Limburg;GLEIS 4;Tepper Aufzüge GmbH;2002;Personenaufzüge;SEIL;2,0;1,0;2,0;1,0;7,656000000000001;;1050,0;;;;;;zu Gleis 4;;;;8,096380955;50,38246484;;
